author,comment,sentiment,confidence
@ay146580,"我都跟他討論遊戲怎麼做,程式的部分怎麼寫,該怎麼設計,劇本設定之類的,還有一些股票投資的討論",neutral,"{'positive': 0.02, 'neutral': 0.98, 'negative': 0.0}"
@Jbzy,感谢分享！,positive,"{'positive': 0.99, 'neutral': 0.0, 'negative': 0.0}"
@ohlarsh,讚許人的努力,positive,"{'positive': 0.86, 'neutral': 0.14, 'negative': 0.01}"
@wuyipiano,我希望Bard彎道超車,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@jimmychuang5264,也許十年後就有天網3.0了,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@tzu-haokuo1150,既然標題說「跟打字預測一樣」，那麼可以介紹一下貴公司所用「能對話」的鍵盤 app 嗎？,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@HankBean,我也想動手玩！！想加入泛科學習社群~~,neutral,"{'positive': 0.36, 'neutral': 0.62, 'negative': 0.03}"
@a126796614,只聽聲音時聽到不凡的驚異這段直接讓我理解錯誤...,negative,"{'positive': 0.07, 'neutral': 0.05, 'negative': 0.88}"
@ivanagyro,非常認同 OenAI CTO Mira Murati 的回答,neutral,"{'positive': 0.37, 'neutral': 0.62, 'negative': 0.01}"
@AntonioTseng,Bing 雖然結合 OpenAI 的技術，但回答內容跟 ChatGPT 差太多了,neutral,"{'positive': 0.0, 'neutral': 0.72, 'negative': 0.28}"
@IsaiahChien,我對AI發展很有興趣，看可否加入學習討論團隊？,neutral,"{'positive': 0.47, 'neutral': 0.51, 'negative': 0.02}"
@user-to1ic4df7n,"當你在使用GOOGLE搜尋的時候卻種是找到一隻釣魚的毛怪
你就知道GOOGLE已經不行了",neutral,"{'positive': 0.01, 'neutral': 0.62, 'negative': 0.37}"
@riglao8828,我把它Jailbreak 之後，它會教我如何打劫銀行，還給了一個完整的計劃流程,negative,"{'positive': 0.0, 'neutral': 0.33, 'negative': 0.67}"
@chenwilliam5176,"設計者的想法很
「幼稚」！
用出現的機率（可能性）大小，選擇
語料庫的語料，",neutral,"{'positive': 0.0, 'neutral': 0.97, 'negative': 0.02}"
@user-uz1pk9bq6l,太專業的問題感覺餵的資料還不夠多，或者是因為沒有買付費版,negative,"{'positive': 0.01, 'neutral': 0.02, 'negative': 0.97}"
@kkk-et1nx,把現在的世界上所有統治者都換成AI，這樣世界就更加公平正義、友善和平~,positive,"{'positive': 0.91, 'neutral': 0.08, 'negative': 0.01}"
@freemanc6258,alive這裡是“有生命”的意思，跟“活著”還是略有不同哦。,neutral,"{'positive': 0.13, 'neutral': 0.87, 'negative': 0.01}"
@user-ks7kb8qe4s,我想加入！,neutral,"{'positive': 0.02, 'neutral': 0.98, 'negative': 0.01}"
@ongjecksent7054,其實現在很多人也活得像机器人。,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@5xvpn,讲的不错，有道理~！,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@chenwilliam5176,"理解？
哈哈哈......
會回答梨子問題,
是因為它從數據庫找到機率最高的",neutral,"{'positive': 0.04, 'neutral': 0.95, 'negative': 0.01}"
@gardeniawang,gpt协助的日更型YouTuber多起来以后，YouTube应该会短期璀璨一阵然后迅速同质化而变得不好看吧。复印本没有原创本几乎活不下去。,negative,"{'positive': 0.0, 'neutral': 0.06, 'negative': 0.94}"
@creeper0114,我想動手玩，想加入泛科學學習社群,neutral,"{'positive': 0.08, 'neutral': 0.92, 'negative': 0.01}"
@huifenGuo,Open AI 原來是馬斯克有參一腳的單位,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@Michael_LI,"我可能是第一次在這個頻道中留言。
我要回答 15:38 D的問題，我的點子就是製作出一個像 Star Trek 的星艦中央電腦，班人類處理很多文書工作。",neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@Didi10046,大力出奇跡,neutral,"{'positive': 0.34, 'neutral': 0.63, 'negative': 0.02}"
@user-yv1lt1sc5n,已經應用並且盈利的人在此舉手,neutral,"{'positive': 0.14, 'neutral': 0.86, 'negative': 0.0}"
@user-hg3st7ie7p,只有訓練超過45tb的資料嗎?9:49,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@user-ld5qb4jf2i,我想動手玩科學！,neutral,"{'positive': 0.06, 'neutral': 0.94, 'negative': 0.01}"
@JianyangLiu,GPT : generative pre-trained transformer,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@KimWings,相較於ChatGPT，new Bing的聊天弱爆了，一點都不好用，真的是出自同一個言語模型嗎？,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}"
@terryobeyes9349,學習社群++,neutral,"{'positive': 0.02, 'neutral': 0.98, 'negative': 0.0}"
@user-zb1ye7cz5z,目前我只把它當工具使用,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@s064a,看有人用ChatGPT來當戀愛遊戲玩,neutral,"{'positive': 0.11, 'neutral': 0.88, 'negative': 0.01}"
@chenwilliam5176,"When the Principles of
ChatGPT are
Realized ，
You will not feel strange that ChatGPT",neutral,"{'positive': 0.35, 'neutral': 0.64, 'negative': 0.01}"
@aaal8011,"ChatGPT昇級後..
尋找靈能者。",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@user-ch5cn9eg8v,好的輔助工具,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
@yufiwang6334,能力被誇張化了。,negative,"{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}"
@hanyoud,GPT-3: Generative Pre-trained Transformer 3,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@beatricehu4874,就是在等泛科學做這集！！未看先留言,neutral,"{'positive': 0.05, 'neutral': 0.9, 'negative': 0.05}"
@user-gr4wn5yq3u,想加入和学习,neutral,"{'positive': 0.02, 'neutral': 0.97, 'negative': 0.0}"
@user-wx4mb9zd7t,我問chat gpt 關於 一部電影的內容，結果他給我亂編內容還問過他元素表他也沒寫完整,negative,"{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}"
@user-tm9yd7yv3r,"傷害人類的
只有股價",negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.99}"
@user-zk5oo1qg5i,"ChatGTP 能取代訓犬師及相關咨詢與教學嗎？

大多數的問題他只能籠統的回答what to do，但無法詳細而正確的回答你how to do。

我問他什麼是負處罰，他用扯項圈的方法舉例回答我.（正處罰／負增強）。負處罰是將喜好移除，而不是將不良的事物加入。",negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}"
@883140,Thanks!,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@yukineko.x,108課綱就是一個教改失敗的東西（by高三統測生,negative,"{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}"
@miaulightouch6990,我都已經用來 debug 公司程式了……,neutral,"{'positive': 0.0, 'neutral': 0.97, 'negative': 0.02}"
@chenwilliam5176,"有道是，
天下文章一大抄",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@yong-junlian9557,訓練一個自己的人工語言 Javis,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@MADorMad,"D
進行意見、建議和觀點輔助",neutral,"{'positive': 0.07, 'neutral': 0.93, 'negative': 0.0}"
@GUO_WANG_HUA,我想開發自己的AI老婆哈哈,neutral,"{'positive': 0.1, 'neutral': 0.89, 'negative': 0.0}"
@hujosh8693,"錯了，不是generative pre-training, 是generative pre-trained transformer",negative,"{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}"
@qinwendeng5620,让它说出多个类似于金光闪闪即前面2个字不同，后面2个字相同的四字词组它就说不清楚了。,neutral,"{'positive': 0.01, 'neutral': 0.74, 'negative': 0.25}"
@hung19091,"12:01
原來亞洲人英文是""Asian""

嗯? 等等

水星魔女當中，地球人的日文是""アーシアン""",neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@PiGB369,這個ChatGPT道德觀太重，不能演很多角色，只要有一點肢體碰觸時的劇本時，就一直不能接受還直接不演.....,negative,"{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}"
@a24881885,拿來做遊戲的智能NPC,neutral,"{'positive': 0.14, 'neutral': 0.86, 'negative': 0.0}"
@ftn7111,我想要它跟我談心，就跟真有朋友一樣,neutral,"{'positive': 0.06, 'neutral': 0.94, 'negative': 0.0}"
@a0926753805,我想把它玩壞XD,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}"
@user-bl1bh7hs5y,"我目前是資工碩二的學生 對於最後的泛科學學習社群有興趣!想加入!
請問我該如何申請",positive,"{'positive': 0.87, 'neutral': 0.12, 'negative': 0.01}"
@user-ec2ec9un3o,電影駭客任務原來是預言電影 離機器人把人類做成電池還剩多少時間,neutral,"{'positive': 0.02, 'neutral': 0.96, 'negative': 0.02}"
@FXMusic7,要被義大利人出征了,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@philosophy.of.strategy,有沒有人想用來搞奧創的啊,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@linjun9772,我们的人性，已经远远落后于我们的科技技术了。,neutral,"{'positive': 0.0, 'neutral': 0.97, 'negative': 0.03}"
@chenwilliam5176,"答案可能會錯誤的
引擎",neutral,"{'positive': 0.0, 'neutral': 0.74, 'negative': 0.26}"
@xyxxyz2008,"要隱藏版才好玩, 河蟹版無聊到傻",negative,"{'positive': 0.11, 'neutral': 0.21, 'negative': 0.68}"
@albertwu96,AI人工智慧搞懂人類思維邏輯了嗎？,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@stevenchen7385,"關於最後的問題
我想回鄉下種田",neutral,"{'positive': 0.0, 'neutral': 0.97, 'negative': 0.03}"
@t22222k,聽到驚異馬上開啟畫面🫣🫣🫣,neutral,"{'positive': 0.06, 'neutral': 0.85, 'negative': 0.09}"
@user-eb2wo7yr2f,其實還好 請他寫一篇文章乍看沒問題 一檢查跟坨屎一樣,positive,"{'positive': 0.85, 'neutral': 0.02, 'negative': 0.12}"
@ovvenfan374,你真的有試過問ChatGPT數學嗎==,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@user-pq1hb4lg8u,估計30年內讓全人類失業,neutral,"{'positive': 0.0, 'neutral': 0.93, 'negative': 0.07}"
@geniusshiun,砸錢彎道超車~~台灣有自己的超級運算雲，正在加柴火ing,neutral,"{'positive': 0.28, 'neutral': 0.51, 'negative': 0.21}"
@user-qz2or3uc6k,你太傻了，GPT可以安裝在google上跟搜尋功能同時並用，還是沒有Bing的份，哈哈,negative,"{'positive': 0.11, 'neutral': 0.15, 'negative': 0.74}"
@yuanyil5221,百萬美元 太便宜了,neutral,"{'positive': 0.06, 'neutral': 0.93, 'negative': 0.0}"
@9090666,"加了AI的BING真的很好玩
叫他寫一首泛科學的七言絕句
都難不倒他w",positive,"{'positive': 0.95, 'neutral': 0.03, 'negative': 0.02}"
@TWkitten,只是黑人自己都稱自己尼哥耶  但那不是貶抑詞，但卻算為負分，分數當然很低阿,neutral,"{'positive': 0.02, 'neutral': 0.82, 'negative': 0.16}"
@TOP5-2023,ChatGPT有多強大?https://youtu.be/kO5Ca5LnsV4,neutral,"{'positive': 0.07, 'neutral': 0.92, 'negative': 0.01}"
@miku3920,選C也太不自量力wwwwwww,neutral,"{'positive': 0.03, 'neutral': 0.87, 'negative': 0.1}"
@why9312005,披薩上面最該放的是肉圓,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@user-ep8gv5sw1o,想參加泛科學習社群！！,positive,"{'positive': 0.63, 'neutral': 0.36, 'negative': 0.01}"
@chenangel8408,Twitter 不是不給gpt accessv,neutral,"{'positive': 0.02, 'neutral': 0.97, 'negative': 0.01}"
@GaBaiLu,泛科學習社群，可以只進去聽人討論嗎?,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@huifenGuo,開頭是搞笑嗎,neutral,"{'positive': 0.11, 'neutral': 0.86, 'negative': 0.03}"
@ritawang520,我想知道Track G P T可以如何幫助我做宣傳海報傳單影片等等,positive,"{'positive': 0.81, 'neutral': 0.18, 'negative': 0.01}"
@lajixindianxin,五六年前的QQ聊天机器人，早就玩剩了,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@teohlai5082,《西部世界》West World 的故事有望成真？,neutral,"{'positive': 0.02, 'neutral': 0.97, 'negative': 0.01}"
@toby134,0:27 瀏覽器？搜尋引擎吧,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@mjk7530,這種說實話的東西，已經被黨禁止了。,neutral,"{'positive': 0.0, 'neutral': 0.52, 'negative': 0.48}"
@user-ux4eb1pw6w,"AI是沒有性別的吧……
覺得，也許，網戀……",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@MotonoSayo0812UwU,3:35 checklist打雞雞（沒事你什麼也沒看到,neutral,"{'positive': 0.01, 'neutral': 0.95, 'negative': 0.04}"
@musicwithtalk,不知道你們的收音設備是什麼？但這樣的收音環境，其實不太優。需要購入好的槍型麥克風和錄音機。,negative,"{'positive': 0.0, 'neutral': 0.12, 'negative': 0.88}"
@MayaTansurian,我要加入学习,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@a1234a2234,"我有百度,你有Bing",neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@sasafras5562,這讓我想到什麼？ 猴子打出哈姆雷特。,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.01}"
@user-jb5qo8tp8t,我想動手玩,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.0}"
@ogp0121,老高都拍了,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@aadfer11,AI翻譯會濃濃機翻味嗎?,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.01}"
@york9247,"我覺得這時代的人很幸運，不會音樂的人可以譜曲，不會文學的可以寫詩，不會畫畫的人可以畫畫

當然悲觀的人也有，但我覺得父子騎驢，怎麼說都對，因為你的說法代表你的價值觀",mixed,"{'positive': 0.42, 'neutral': 0.08, 'negative': 0.49}"
@s2005100,最球最強的fake news生成器,neutral,"{'positive': 0.17, 'neutral': 0.51, 'negative': 0.32}"
@neverlin5979,披薩就是不能放鳳梨,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.01}"
@user-bk5it6ee5c,6:10  千萬別跟我說鳳梨唷,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.01}"
@chenwilliam5176,"智慧之果？
哈哈哈........",positive,"{'positive': 0.51, 'neutral': 0.47, 'negative': 0.02}"
@DemonCris,中間某斷開始 audio 跟 video 對不上,negative,"{'positive': 0.0, 'neutral': 0.44, 'negative': 0.56}"
@pengxin9069,谁能教我申请chat GPT 吗？,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@artificial-intelligence-video,"我的影片因為DAIIE的限制,現在連一個影片都沒有",neutral,"{'positive': 0.0, 'neutral': 0.96, 'negative': 0.04}"
@MM-bt7cv,根本就不是什麼AI,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.01}"
@yasashidonn,幹，開頭感覺被jump scare+恐怖谷了 ,negative,"{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}"
@user-cv2iw1ez7k,主持人介紹得太籠統,neutral,"{'positive': 0.01, 'neutral': 0.58, 'negative': 0.41}"
@ABBLE789456123,D : 我要請他幫我找免費的A片載點。,neutral,"{'positive': 0.11, 'neutral': 0.88, 'negative': 0.01}"
@user-lz1hb8pm7v,怎么可以加入群组,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@chenwilliam5176,"它沒有理解能力啦
！",neutral,"{'positive': 0.02, 'neutral': 0.61, 'negative': 0.36}"
@artisticrelaxingmusic3218,科技奇異點https://youtu.be/d9-fL3h6Xd0,neutral,"{'positive': 0.16, 'neutral': 0.83, 'negative': 0.01}"
@aaronlee9754,13:03 有老高欸~~~,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.0}"
@googlel3160,Chat gpt也會一本正經的胡說八道，超大數計算也是胡說八道,neutral,"{'positive': 0.01, 'neutral': 0.89, 'negative': 0.09}"
@garfieldlavi,A跟B,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@user-jy7ff7ud1z,E. 養一個自己的老婆,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@GarrickChou,沒有法律規範下，絕對贏現有的科技大廠呀。,neutral,"{'positive': 0.22, 'neutral': 0.69, 'negative': 0.09}"
@turingalan4483,程式設計為什麼一定要用英文來寫呢，為什麼沒有人研究用中文來寫程式設計，英文為基本的程式架構，一定會比用中文為基本架構來得快嗎？還是中國人就撿現成的架構來做，比較省事。若是用中文來做架構，不知有人研究過嗎？,neutral,"{'positive': 0.13, 'neutral': 0.87, 'negative': 0.01}"
@MM-bt7cv,假智慧,neutral,"{'positive': 0.03, 'neutral': 0.57, 'negative': 0.41}"
@dove0813,"原本要正讚了
但看到貴頻道有疑似偷渡
「披薩加鳳X」這種邪門歪道的嫌疑，只好忍痛改成倒讚了",negative,"{'positive': 0.27, 'neutral': 0.0, 'negative': 0.73}"
@user-oq2xe8lp6w,"https://youtube.com/shorts/sv-cMpd9-MU?feature=share3

「要五毛，給一塊」",neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@absabs2974,類神經網路,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@user-rx3ge3ze8e,我覺得很笨...,negative,"{'positive': 0.01, 'neutral': 0.34, 'negative': 0.66}"
@calligraphytw,簽,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@LichiChen,10:30 是誰在吹捧亞洲人,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@tat4340,什麼爛詩啦,negative,"{'positive': 0.02, 'neutral': 0.04, 'negative': 0.95}"
@Quincy001,寫一些文w,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@acswu2617,八杯水,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@frank_1972,tks，B️,positive,"{'positive': 0.71, 'neutral': 0.29, 'negative': 0.01}"
@Nabuekhunnih,1,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@LifeHackerZhy,好傻,negative,"{'positive': 0.02, 'neutral': 0.45, 'negative': 0.53}"
@sva9629,B.,neutral,"{'positive': 0.05, 'neutral': 0.95, 'negative': 0.0}"
@tibronklawson,Jarvis,neutral,"{'positive': 0.04, 'neutral': 0.95, 'negative': 0.01}"
